Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
1,Journal of Finance,A+,9.7999267251
2,American Economic Review,A+,9.7485475521
3,Review of Financial Studies,A+,9.4793093712
4,Administrative Science Quarterly,A+,9.476848669
5,Journal of Marketing,A+,9.458231632
6,Journal of Consumer Research,A+,9.4391340212
7,Journal of Financial Economics,A+,9.4299634033
8,Information Systems Research,A+,9.4229183785
9,Journal of Marketing Research,A+,9.3378685819
10,Marketing Science,A+,9.2878179729
11,Management Science,A+,9.2032246364
12,Operations Research,A+,9.1858643592
13,Academy of Management Journal,A+,9.0788537061
14,Academy of Management Review,A+,9.0660814613
15,Journal of Financial and Quantitative Analysis,A,8.9504976769
16,RAND Journal of Economics (formerly: Bell Journal of Economics),A,8.9346820523
17,Mathematical Programming,A,8.9210104362
18,Organization Science,A,8.8953490849
19,Journal of Accounting and Economics,A,8.8860768605
20,MIS Quarterly,A,8.8387956532
21,Journal of International Business Studies JIBS,A,8.8095344374
22,Review of Accounting Studies,A,8.7943105613
23,Accounting Review,A,8.7825750868
24,Journal of Labor Economics,A,8.7121759707
25,Journal of Risk and Insurance,A,8.6204646026
26,Transportation Science,A,8.602640833
27,Journal of the Academy of Marketing Science,A,8.5039370734
28,Proceedings of the International Conference on Information Systems (ICIS),A,8.4776925497
29,Journal of Industrial Ecology,A,8.4742511796
30,SIAM Journal on Computing (Society for Industrial and Applied Mathematics),A,8.4550121203
31,Strategic Management Journal,A,8.4149031542
32,Research Policy,A,8.4118663988
33,Journal of Service Research,A,8.397455602
34,Journal of Business Venturing,A,8.3753285919
35,Voluntas. International Journal of Voluntary and Nonprofit Organizations,A,8.3642273123
36,Journal of Applied Psychology,A,8.3327993485
37,"Accounting, Organizations and Society",A,8.332527207
38,Journal of Management Information Systems,A,8.3159916095
39,Production and Operations Management,A,8.3156767667
40,Economic Journal,A,8.2934749804
41,Journal of Industrial Economics,A,8.237771411
42,Discrete Applied Mathematics,A,8.2356876894
43,Health Care Management Science,A,8.2332049289
44,Journal of Economic Behavior and Organization,A,8.2230535091
45,Journal of the European Economic Association,A,8.1958946431
46,Entrepreneurship: Theory and Practice,A,8.1801710619
47,Journal of Economics and Management Strategy,A,8.1696646781
48,International Journal of Research in Marketing,A,8.1652185559
49,Philosophy of Science,A,8.1601637564
50,IIE Transactions,A,8.1216271186
51,Organizational Behavior and Human Decision Processes,A,8.1215701416
52,Journal of Retailing,A,8.1201458736
53,Journal of Product Innovation Management,A,8.1167641611
54,OR Spectrum (formerly: OR Spektrum),A,8.1037708453
55,Journal of Health Economics,A,8.0975292588
56,European Journal of Operational Research EJOR,A,8.0943375853
57,Contemporary Accounting Research/Recherche Comptable Contemporaine,A,8.0758509874
58,Management Accounting Research,A,8.0700205006
59,Review of Finance (formerly: European Finance Review),A,8.063248006
60,Journal of Scheduling,A,8.0499745583
61,Journal of Banking and Finance,A,8.0453580411
62,Journal of Accounting Research,A,8.0335277225
63,International Journal of Game Theory,A,8.0167601662
64,Review of Derivatives Research,A,8.0117598449
65,Organization Studies,B,7.9875013693
66,Information Systems Journal,B,7.9805425804
67,Mathematics of Operations Research,B,7.9694872412
68,Journal of the Association for Information Systems (JAIS),B,7.9632285563
69,Journal of Business Finance and Accounting,B,7.9409265696
70,"Journal of Law, Economics, and Organization",B,7.9346180187
71,Research in the Sociology of Organizations,B,7.9298419257
72,Auditing: A Journal of Practice and Theory,B,7.9296123475
73,Journal of Management Accounting Research,B,7.9203391774
74,INFORMS Journal on Computing (formerly: ORSA Journal on Computing),B,7.905990965
75,Mathematical Finance,B,7.9007939247
76,European Economic Review,B,7.8971654852
77,American Psychologist,B,7.8919685727
78,Business Ethics Quarterly (BEQ),B,7.879222824
79,Journal of Strategic Information Systems,B,7.8690969898
80,Journal of Media Economics,B,7.8534639519
81,Marketing Letters,B,7.8515330487
82,Journal of Management,B,7.8503553298
83,Organizational Behaviour and Human Performance,B,7.8473248813
84,Human Relations,B,7.8466322674
85,Journal of Operations Management,B,7.83501232
86,Insurance: Mathematics and Economics,B,7.8123480312
87,Journal of Institutional and Theoretical Economics (formerly: Zeitschrift für die gesamte Staatswissenschaft),B,7.7735638407
